               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.030005,            0.012661,           0.0023668,             0.83998,                   1,               0.995,             0.55648,            0.038172,           0.0053396,           0.0044136,            0.007624,            0.007624,            0.007624
                  38,            0.033061,            0.012811,           0.0026444,             0.88914,                   1,               0.995,             0.67481,            0.026778,           0.0047941,           0.0012547,            0.007558,            0.007558,            0.007558
                  39,            0.028578,            0.012894,           0.0022268,             0.91722,                   1,               0.995,              0.5764,            0.033121,           0.0046177,          0.00098553,            0.007492,            0.007492,            0.007492
                  40,            0.030966,            0.013382,            0.001897,             0.97423,                   1,               0.995,             0.72804,            0.027149,           0.0041656,           0.0010284,            0.007426,            0.007426,            0.007426
                  41,            0.029289,            0.012193,           0.0027097,             0.97276,                   1,               0.995,              0.6473,            0.030342,           0.0041566,          0.00096951,             0.00736,             0.00736,             0.00736
                  42,            0.028505,            0.012607,           0.0021713,             0.96698,                   1,               0.995,             0.52312,            0.032918,           0.0043559,          0.00081215,            0.007294,            0.007294,            0.007294
                  43,            0.026866,            0.012329,           0.0020139,             0.97718,                   1,               0.995,              0.6409,            0.028348,           0.0038037,          0.00076199,            0.007228,            0.007228,            0.007228
                  44,            0.029675,            0.012022,            0.001469,             0.97934,                   1,               0.995,             0.64726,            0.028979,           0.0036054,          0.00088005,            0.007162,            0.007162,            0.007162
                  45,            0.028728,             0.01212,           0.0017074,             0.96945,                   1,               0.995,             0.55567,            0.033606,           0.0039105,           0.0010166,            0.007096,            0.007096,            0.007096
                  46,            0.028199,             0.01137,           0.0020616,               0.956,                   1,               0.995,             0.65611,            0.027241,           0.0040236,           0.0025013,             0.00703,             0.00703,             0.00703
                  47,            0.028161,            0.010707,             0.00384,              0.9498,                   1,               0.995,             0.65808,            0.026223,           0.0041723,          0.00092602,            0.006964,            0.006964,            0.006964
                  48,            0.026982,            0.011593,           0.0016156,             0.94888,                   1,               0.995,             0.67221,            0.026182,           0.0042362,           0.0010218,            0.006898,            0.006898,            0.006898
                  49,            0.027118,            0.011686,           0.0016764,             0.94854,                   1,               0.995,              0.5984,            0.028969,           0.0042634,           0.0029934,            0.006832,            0.006832,            0.006832
                  50,            0.025849,            0.011394,           0.0022393,               0.917,             0.98755,               0.995,             0.66454,            0.025908,           0.0041041,           0.0034103,            0.006766,            0.006766,            0.006766
                  51,            0.025191,            0.011105,           0.0021873,             0.90019,             0.96685,               0.995,             0.72526,            0.024467,           0.0038576,           0.0084534,              0.0067,              0.0067,              0.0067
                  52,            0.027688,            0.011091,            0.001619,             0.82421,             0.98157,               0.995,             0.73772,            0.024421,           0.0040417,             0.02139,            0.006634,            0.006634,            0.006634
                  53,            0.026335,            0.011126,           0.0014748,             0.83709,             0.97824,               0.995,             0.63506,            0.026886,           0.0040936,            0.021347,            0.006568,            0.006568,            0.006568
                  54,            0.026443,            0.011461,             0.00228,             0.97666,                   1,               0.995,             0.70818,            0.026696,           0.0041642,           0.0017889,            0.006502,            0.006502,            0.006502
                  55,            0.025181,            0.012065,           0.0018271,             0.97826,                   1,               0.995,              0.6448,            0.028629,           0.0044746,          0.00058899,            0.006436,            0.006436,            0.006436
                  56,             0.02751,            0.011848,           0.0014868,             0.96516,                   1,               0.995,             0.68571,            0.032127,            0.004252,          0.00058784,             0.00637,             0.00637,             0.00637
                  57,            0.025853,             0.01186,            0.002181,             0.98018,                   1,               0.995,             0.69996,            0.027192,           0.0041895,          0.00071316,            0.006304,            0.006304,            0.006304
                  58,            0.026525,            0.011138,           0.0017619,             0.97542,                   1,               0.995,             0.68001,            0.027565,           0.0039167,          0.00087185,            0.006238,            0.006238,            0.006238
                  59,            0.025093,            0.011549,            0.001806,             0.96599,                   1,               0.995,             0.71189,            0.028128,             0.00386,          0.00096455,            0.006172,            0.006172,            0.006172
                  60,            0.026467,            0.011077,           0.0016639,             0.95878,                   1,               0.995,             0.67615,            0.026962,           0.0039949,           0.0010544,            0.006106,            0.006106,            0.006106
                  61,            0.024213,            0.011399,           0.0016729,             0.96332,                   1,               0.995,             0.61108,            0.031048,           0.0042124,           0.0011139,             0.00604,             0.00604,             0.00604
                  62,            0.026071,            0.010666,           0.0018317,             0.95955,                   1,               0.995,             0.68892,            0.025066,           0.0042362,           0.0010994,            0.005974,            0.005974,            0.005974
                  63,            0.024393,             0.01093,           0.0015596,             0.94269,                   1,               0.995,             0.68066,            0.024361,            0.004385,           0.0012568,            0.005908,            0.005908,            0.005908
                  64,            0.025188,            0.011188,            0.001282,             0.92554,                   1,               0.995,             0.69412,            0.024311,           0.0041418,           0.0021702,            0.005842,            0.005842,            0.005842
                  65,            0.024068,            0.010999,           0.0009839,              0.9318,                   1,               0.995,             0.61296,            0.028148,           0.0042596,           0.0030361,            0.005776,            0.005776,            0.005776
                  66,            0.024937,            0.010433,            0.001549,             0.94016,                   1,               0.995,             0.68851,            0.028984,           0.0041156,           0.0023109,             0.00571,             0.00571,             0.00571
                  67,            0.024844,            0.011088,            0.001279,             0.94191,                   1,               0.995,             0.64838,            0.029985,           0.0040169,           0.0012493,            0.005644,            0.005644,            0.005644
                  68,            0.025895,            0.011613,           0.0017904,             0.97779,                   1,               0.995,             0.67956,            0.027788,           0.0037456,          0.00071983,            0.005578,            0.005578,            0.005578
                  69,            0.023465,            0.011984,           0.0011317,             0.97296,                   1,               0.995,             0.61757,            0.030458,           0.0039759,          0.00064802,            0.005512,            0.005512,            0.005512
                  70,            0.024622,            0.010774,           0.0014856,             0.97315,                   1,               0.995,             0.67981,            0.026454,             0.00389,          0.00065603,            0.005446,            0.005446,            0.005446
                  71,            0.024528,           0.0097499,           0.0010502,             0.96792,                   1,               0.995,             0.68556,            0.026246,           0.0037413,          0.00070772,             0.00538,             0.00538,             0.00538
                  72,            0.023788,            0.010328,          0.00090232,             0.95175,                   1,               0.995,             0.70724,            0.026756,           0.0039158,          0.00076714,            0.005314,            0.005314,            0.005314
                  73,             0.02175,            0.010856,          0.00096378,             0.95257,                   1,               0.995,             0.69514,            0.027479,           0.0037565,          0.00069427,            0.005248,            0.005248,            0.005248
                  74,            0.024598,            0.010272,          0.00097463,             0.96101,                   1,               0.995,             0.69891,            0.025609,            0.003633,          0.00066872,            0.005182,            0.005182,            0.005182
                  75,            0.022629,           0.0099379,           0.0014158,             0.97096,                   1,               0.995,             0.70352,            0.023951,           0.0036087,           0.0005805,            0.005116,            0.005116,            0.005116
                  76,            0.023174,            0.010258,           0.0012083,             0.96979,                   1,               0.995,               0.661,            0.029004,           0.0039034,          0.00059309,             0.00505,             0.00505,             0.00505
                  77,            0.022172,            0.010425,           0.0011368,             0.96576,                   1,               0.995,              0.7098,            0.025946,           0.0040698,          0.00069923,            0.004984,            0.004984,            0.004984
                  78,            0.023046,            0.010564,            0.001259,             0.95258,                   1,               0.995,             0.71083,            0.028038,           0.0045128,          0.00096741,            0.004918,            0.004918,            0.004918
                  79,             0.02208,            0.011007,          0.00094434,             0.93187,                   1,               0.995,             0.68558,            0.026032,           0.0043654,           0.0012651,            0.004852,            0.004852,            0.004852
                  80,            0.022398,            0.010472,           0.0011781,              0.9485,                   1,               0.995,             0.67599,            0.025227,           0.0041337,           0.0015291,            0.004786,            0.004786,            0.004786
                  81,             0.02227,            0.009899,           0.0018748,             0.95675,                   1,               0.995,             0.65996,            0.026698,           0.0040231,           0.0020435,             0.00472,             0.00472,             0.00472
                  82,            0.021969,            0.011385,           0.0012559,             0.95638,                   1,               0.995,             0.71541,            0.023026,           0.0037746,           0.0017139,            0.004654,            0.004654,            0.004654
                  83,            0.021264,            0.010049,           0.0018726,             0.96986,                   1,               0.995,             0.72922,            0.023948,           0.0035486,          0.00071335,            0.004588,            0.004588,            0.004588
                  84,            0.021197,            0.010518,           0.0014157,             0.97459,                   1,               0.995,             0.69841,            0.025295,           0.0035872,          0.00065498,            0.004522,            0.004522,            0.004522
                  85,            0.023254,            0.009008,           0.0011046,             0.97095,                   1,               0.995,             0.71891,            0.024319,           0.0036631,          0.00069275,            0.004456,            0.004456,            0.004456
                  86,            0.021537,            0.010605,           0.0010166,             0.97695,                   1,               0.995,             0.64108,            0.025633,           0.0036235,          0.00068769,             0.00439,             0.00439,             0.00439
                  87,            0.021299,            0.010059,           0.0010819,                0.98,                   1,               0.995,             0.67039,            0.026007,           0.0038671,          0.00061817,            0.004324,            0.004324,            0.004324
                  88,            0.020823,            0.010369,          0.00097633,             0.97625,                   1,               0.995,             0.63769,            0.025949,           0.0039902,          0.00059595,            0.004258,            0.004258,            0.004258
                  89,            0.020552,           0.0096447,           0.0019044,             0.97685,                   1,               0.995,             0.66602,            0.026807,           0.0037889,          0.00064564,            0.004192,            0.004192,            0.004192
                  90,            0.021127,            0.010274,          0.00099786,             0.96529,                   1,               0.995,             0.67346,            0.025606,           0.0040574,           0.0006464,            0.004126,            0.004126,            0.004126
                  91,            0.019621,            0.009777,           0.0006596,             0.95737,                   1,               0.995,             0.74599,            0.025366,           0.0042524,          0.00077438,             0.00406,             0.00406,             0.00406
                  92,            0.019654,            0.010221,          0.00090052,             0.96565,                   1,               0.995,             0.67122,            0.027221,           0.0043106,           0.0011148,            0.003994,            0.003994,            0.003994
                  93,            0.018852,           0.0098123,          0.00055725,              0.9641,                   1,               0.995,             0.62198,            0.028333,           0.0041518,           0.0016102,            0.003928,            0.003928,            0.003928
                  94,            0.020716,           0.0098591,           0.0011901,             0.96504,                   1,               0.995,             0.67185,            0.027824,           0.0039935,            0.001643,            0.003862,            0.003862,            0.003862
                  95,            0.019666,           0.0098907,           0.0010903,              0.9656,                   1,               0.995,             0.69054,            0.025675,           0.0036187,           0.0011583,            0.003796,            0.003796,            0.003796
                  96,            0.019971,           0.0098438,           0.0013964,             0.96692,                   1,               0.995,             0.67573,            0.028389,           0.0037313,          0.00099792,             0.00373,             0.00373,             0.00373
                  97,            0.019861,            0.010324,           0.0006962,             0.96091,                   1,               0.995,              0.6938,            0.026305,           0.0039239,          0.00091858,            0.003664,            0.003664,            0.003664
                  98,            0.019359,           0.0099975,          0.00078294,             0.96096,                   1,               0.995,             0.65549,            0.027292,           0.0042491,          0.00076199,            0.003598,            0.003598,            0.003598
                  99,             0.02014,           0.0099586,          0.00053679,             0.96762,                   1,               0.995,             0.61366,            0.029629,           0.0047617,          0.00053768,            0.003532,            0.003532,            0.003532
                 100,            0.019245,            0.010274,          0.00064157,             0.96865,                   1,               0.995,             0.63117,            0.029935,           0.0047245,          0.00045176,            0.003466,            0.003466,            0.003466
                 101,            0.018309,            0.008803,          0.00046553,              0.9764,                   1,               0.995,             0.62973,            0.029736,           0.0043755,          0.00040188,              0.0034,              0.0034,              0.0034
                 102,            0.020109,            0.009445,          0.00075764,             0.97846,                   1,               0.995,             0.66114,            0.026323,           0.0037146,          0.00038528,            0.003334,            0.003334,            0.003334
                 103,            0.019015,           0.0091846,           0.0011286,             0.97504,                   1,               0.995,             0.62257,            0.028915,           0.0038986,          0.00037575,            0.003268,            0.003268,            0.003268
                 104,            0.019058,           0.0090134,          0.00070403,             0.97644,                   1,               0.995,             0.64912,            0.027064,           0.0038466,          0.00037327,            0.003202,            0.003202,            0.003202
                 105,            0.018571,           0.0092658,           0.0011906,             0.97466,                   1,               0.995,             0.64782,            0.025473,           0.0036869,          0.00037785,            0.003136,            0.003136,            0.003136
                 106,            0.019017,           0.0088818,           0.0016589,             0.97894,                   1,               0.995,              0.6435,            0.026714,           0.0036397,          0.00039682,             0.00307,             0.00307,             0.00307
                 107,            0.019434,            0.009377,          0.00094555,             0.98265,                   1,               0.995,             0.63231,            0.027984,           0.0039783,          0.00046892,            0.003004,            0.003004,            0.003004
                 108,            0.017819,           0.0098324,          0.00074827,              0.9778,                   1,               0.995,             0.64794,            0.026699,           0.0037947,          0.00048418,            0.002938,            0.002938,            0.002938
                 109,            0.018108,           0.0092591,           0.0010211,             0.98107,                   1,               0.995,             0.62117,            0.027407,           0.0037718,          0.00046463,            0.002872,            0.002872,            0.002872
                 110,            0.018497,            0.009597,           0.0011875,             0.97906,                   1,               0.995,             0.63996,            0.027182,           0.0039525,          0.00047626,            0.002806,            0.002806,            0.002806
                 111,            0.018154,           0.0090633,           0.0010135,             0.97911,                   1,               0.995,             0.61862,            0.026673,           0.0037704,          0.00052872,             0.00274,             0.00274,             0.00274
                 112,            0.018096,            0.009248,           0.0019277,             0.97962,                   1,               0.995,             0.63163,            0.026702,           0.0037017,          0.00051146,            0.002674,            0.002674,            0.002674
                 113,            0.018161,           0.0091748,          0.00071155,             0.97953,                   1,               0.995,             0.65316,             0.02728,           0.0036674,          0.00043755,            0.002608,            0.002608,            0.002608
                 114,            0.016481,           0.0092907,          0.00099994,             0.98088,                   1,               0.995,             0.62296,            0.026911,           0.0036516,          0.00039749,            0.002542,            0.002542,            0.002542
                 115,            0.017582,           0.0086673,          0.00069958,              0.9807,                   1,               0.995,             0.60897,            0.028233,           0.0035539,          0.00035973,            0.002476,            0.002476,            0.002476
                 116,            0.018348,           0.0092946,           0.0010502,             0.98213,                   1,               0.995,             0.63008,            0.026588,           0.0034862,          0.00034904,             0.00241,             0.00241,             0.00241
                 117,            0.016662,           0.0087267,          0.00045647,             0.98001,                   1,               0.995,             0.71195,            0.025393,           0.0033212,          0.00034256,            0.002344,            0.002344,            0.002344
                 118,            0.016795,             0.00925,          0.00039832,             0.97691,                   1,               0.995,             0.64386,             0.02748,           0.0035415,          0.00033569,            0.002278,            0.002278,            0.002278
                 119,             0.01713,           0.0087814,          0.00060832,             0.97569,                   1,               0.995,             0.69101,            0.025735,           0.0034738,          0.00031877,            0.002212,            0.002212,            0.002212
                 120,            0.017363,           0.0086426,          0.00043713,             0.97585,                   1,               0.995,             0.71842,            0.025279,           0.0034051,          0.00030627,            0.002146,            0.002146,            0.002146
                 121,            0.016705,           0.0088883,          0.00034249,             0.97846,                   1,               0.995,             0.72238,            0.025298,           0.0033526,          0.00029593,             0.00208,             0.00208,             0.00208
                 122,            0.015889,           0.0092521,          0.00043513,             0.97903,                   1,               0.995,             0.71856,            0.025496,           0.0034008,          0.00029202,            0.002014,            0.002014,            0.002014
                 123,            0.017005,           0.0091059,           0.0014311,             0.98012,                   1,               0.995,             0.68841,            0.026254,            0.003561,          0.00028458,            0.001948,            0.001948,            0.001948
                 124,              0.0159,           0.0083579,           0.0005985,             0.98076,                   1,               0.995,             0.68203,             0.02608,           0.0036983,          0.00027518,            0.001882,            0.001882,            0.001882
                 125,            0.015689,           0.0084322,          0.00049455,             0.98069,                   1,               0.995,             0.69206,            0.026283,            0.003861,          0.00028262,            0.001816,            0.001816,            0.001816
                 126,            0.016018,           0.0087975,          0.00089002,              0.9804,                   1,               0.995,              0.6736,            0.026214,           0.0038095,          0.00028057,             0.00175,             0.00175,             0.00175
                 127,             0.01531,           0.0082896,          0.00033355,             0.98403,                   1,               0.995,             0.64114,            0.027744,           0.0040884,          0.00027757,            0.001684,            0.001684,            0.001684
                 128,            0.017199,           0.0090172,          0.00028217,             0.98364,                   1,               0.995,             0.68219,            0.026758,           0.0040832,          0.00027075,            0.001618,            0.001618,            0.001618
                 129,            0.016033,           0.0085814,          0.00032097,             0.98082,                   1,               0.995,             0.65237,            0.026827,            0.003973,           0.0002635,            0.001552,            0.001552,            0.001552
                 130,            0.017436,           0.0085233,          0.00040703,             0.98099,                   1,               0.995,             0.67151,            0.026536,           0.0038567,          0.00025702,            0.001486,            0.001486,            0.001486
                 131,             0.01514,           0.0081823,          0.00033929,             0.98111,                   1,               0.995,             0.66671,            0.026763,           0.0038023,          0.00025024,             0.00142,             0.00142,             0.00142
                 132,            0.015147,           0.0081959,          0.00070285,             0.98118,                   1,               0.995,             0.69306,            0.026702,           0.0037827,          0.00024943,            0.001354,            0.001354,            0.001354
                 133,            0.015199,           0.0084883,           0.0003403,             0.98261,                   1,               0.995,             0.64254,            0.027278,           0.0038795,          0.00024014,            0.001288,            0.001288,            0.001288
                 134,            0.015046,           0.0083344,          0.00068333,              0.9831,                   1,               0.995,              0.6844,            0.026071,           0.0038395,          0.00022554,            0.001222,            0.001222,            0.001222
                 135,            0.014371,           0.0084777,          0.00036684,             0.98441,                   1,               0.995,             0.68395,            0.026326,             0.00387,          0.00021849,            0.001156,            0.001156,            0.001156
                 136,            0.015589,            0.008227,          0.00051798,             0.98338,                   1,               0.995,             0.64247,            0.026576,           0.0039754,          0.00021296,             0.00109,             0.00109,             0.00109
                 137,            0.016352,            0.008701,          0.00096122,             0.98395,                   1,               0.995,             0.63665,            0.027371,           0.0039024,          0.00021172,            0.001024,            0.001024,            0.001024
                 138,            0.014581,           0.0084465,          0.00031588,             0.98275,                   1,               0.995,               0.673,             0.02689,           0.0039053,          0.00020876,            0.000958,            0.000958,            0.000958
                 139,            0.016736,           0.0078182,          0.00043555,             0.98148,                   1,               0.995,             0.66681,            0.026797,           0.0038657,          0.00020628,            0.000892,            0.000892,            0.000892
                 140,            0.014403,           0.0086826,          0.00059251,             0.98097,                   1,               0.995,              0.6419,            0.026947,           0.0038633,          0.00020599,            0.000826,            0.000826,            0.000826
                 141,            0.014234,           0.0085333,          0.00029358,             0.98265,                   1,               0.995,             0.68317,            0.025986,             0.00383,          0.00020552,             0.00076,             0.00076,             0.00076
                 142,            0.014776,            0.008085,          0.00029523,              0.9829,                   1,               0.995,               0.642,            0.027425,           0.0039077,          0.00020523,            0.000694,            0.000694,            0.000694
                 143,            0.016028,           0.0083593,            0.001044,             0.98291,                   1,               0.995,             0.68292,            0.026913,           0.0038824,          0.00020595,            0.000628,            0.000628,            0.000628
                 144,            0.015663,           0.0084541,           0.0013327,             0.98277,                   1,               0.995,              0.6824,            0.026565,             0.00384,          0.00020332,            0.000562,            0.000562,            0.000562
                 145,            0.014801,           0.0079473,          0.00055622,             0.98324,                   1,               0.995,              0.6825,            0.026321,           0.0038004,          0.00020227,            0.000496,            0.000496,            0.000496
                 146,            0.013993,           0.0084461,          0.00025235,             0.98354,                   1,               0.995,              0.6825,            0.026441,           0.0038071,          0.00020089,             0.00043,             0.00043,             0.00043
                 147,            0.016335,           0.0090099,          0.00034533,             0.98334,                   1,               0.995,             0.68278,            0.026577,           0.0038543,          0.00019612,            0.000364,            0.000364,            0.000364
                 148,             0.01397,           0.0082723,          0.00046857,              0.9828,                   1,               0.995,             0.68278,            0.025931,           0.0038481,          0.00019422,            0.000298,            0.000298,            0.000298
                 149,            0.014207,           0.0081179,          0.00026363,             0.98215,                   1,               0.995,             0.68325,            0.026096,           0.0038223,          0.00019231,            0.000232,            0.000232,            0.000232
